MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type,Id,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Mo Sold,SalePrice,Age,Remod Age,Garage Age,Total Area,OverallQual & GrLivArea,GarageArea & Cars,Age & RemodAge,FullBath & RmsAbvGrd
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,829,20,95.0,10324,8,5,140.0,872.0,0.0,382.0,1254.0,1254,0,0,1254,1.0,0.0,2,0,2,1,5,0,3.0,810.0,168,92,0,0,0,0,3,221800,3,3,3.0,14042.0,10032,2430.0,9,10
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,4,TA,BrkTil,TA,TA,No,ALQ,Unf,GasA,4,Y,SBrkr,4,Min1,0,2Types,Unf,3,TA,N,None,MnPrv,None,WD ,1397,50,63.0,8375,5,7,0.0,336.0,0.0,240.0,576.0,864,486,0,1350,1.0,0.0,1,1,2,1,6,0,3.0,627.0,0,0,0,0,0,0,6,152400,70,38,38.0,10928.0,6750,1881.0,2660,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,No,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,877,20,75.0,9750,7,5,171.0,0.0,0.0,1630.0,1630.0,1630,0,0,1630,0.0,0.0,2,0,3,1,6,1,2.0,451.0,74,234,0,0,0,0,10,213000,11,10,11.0,13940.0,11410,902.0,110,12
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,No,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,2477,60,74.0,7632,7,5,96.0,0.0,0.0,784.0,784.0,831,754,0,1585,0.0,0.0,2,1,3,1,7,0,2.0,449.0,100,77,0,0,0,0,3,184900,6,6,6.0,10723.0,11095,898.0,36,14
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,3,TA,CBlock,TA,TA,Mn,BLQ,Unf,GasA,3,Y,SBrkr,3,Typ,4,Attchd,Unf,3,TA,Y,None,None,None,WD ,2871,190,90.0,15750,5,5,56.0,841.0,0.0,324.0,1165.0,1336,0,0,1336,1.0,0.0,1,0,2,1,5,2,1.0,375.0,0,0,0,0,0,0,6,157000,58,58,58.0,18682.0,6680,375.0,3364,5
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,4,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,4,Y,SBrkr,3,Min1,3,Detchd,Unf,3,TA,Y,None,MnPrv,None,WD ,2489,20,0.0,9240,5,6,0.0,612.0,0.0,252.0,864.0,1211,0,0,1211,0.0,0.0,1,0,2,1,6,1,2.0,576.0,161,0,0,0,0,0,3,144000,49,9,39.0,12052.0,6055,1152.0,441,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,5,TA,CBlock,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,None,None,WD ,1655,20,80.0,10400,6,5,253.0,903.0,0.0,356.0,1259.0,1353,0,0,1353,1.0,0.0,2,0,2,1,5,1,2.0,478.0,240,141,0,0,0,0,8,192350,32,12,32.0,14124.0,8118,956.0,384,10
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,BrkFace,5,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,MnPrv,None,CWD,1891,20,80.0,8800,7,6,202.0,654.0,0.0,520.0,1174.0,1200,0,0,1200,0.0,1.0,2,0,3,1,6,1,2.0,440.0,0,0,0,0,0,0,10,163500,45,45,45.0,11816.0,8400,880.0,2025,12
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,5,Attchd,Unf,3,TA,Y,None,None,None,WD ,1419,60,86.0,11839,7,5,99.0,1085.0,0.0,390.0,1475.0,1532,797,0,2329,1.0,0.0,2,1,4,1,10,1,2.0,514.0,192,121,0,0,0,0,5,262280,21,21,21.0,16569.0,16303,1028.0,441,20
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,1473,20,70.0,9135,7,5,113.0,810.0,0.0,726.0,1536.0,1536,0,0,1536,1.0,0.0,2,0,3,1,7,0,2.0,532.0,192,74,0,0,0,0,12,214000,9,8,9.0,13118.0,10752,1064.0,72,14
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,Stone,Stone,None,5,TA,PConc,TA,TA,No,ALQ,GLQ,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,2868,20,90.0,14115,6,7,0.0,296.0,547.0,230.0,1073.0,1811,0,0,1811,0.0,0.0,1,0,2,1,6,1,2.0,470.0,0,0,280,0,0,0,7,230000,55,7,55.0,17749.0,10866,940.0,385,6
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Ex,Gd,No,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,RFn,3,TA,Y,None,None,None,New,1695,60,109.0,14154,7,5,350.0,0.0,0.0,1063.0,1063.0,1071,1101,0,2172,0.0,0.0,2,1,3,1,9,1,3.0,947.0,192,62,0,0,0,0,8,280000,5,5,5.0,18940.0,15204,2841.0,25,18
C (all),Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,4,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,4,Y,FuseA,3,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,2244,20,65.0,6565,4,6,0.0,967.0,0.0,106.0,1073.0,1073,0,0,1073,1.0,0.0,1,0,3,1,6,0,2.0,720.0,0,444,0,0,0,0,8,140000,54,31,26.0,9875.0,4292,1440.0,1674,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,TA,CBlock,TA,TA,No,Unf,Unf,GasA,3,Y,SBrkr,3,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,169,60,70.0,7700,6,5,351.0,0.0,0.0,756.0,756.0,1051,788,0,1839,0.0,0.0,1,1,4,1,7,1,2.0,442.0,0,124,216,0,0,0,6,155000,45,45,45.0,11428.0,11034,884.0,2025,7
C (all),Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,Fa,BrkTil,TA,Fa,No,Unf,Unf,GasA,2,N,FuseP,2,Typ,0,None,None,0,None,N,None,None,None,ConLD,2670,50,63.0,4761,3,3,0.0,0.0,0.0,1020.0,1020.0,1020,0,0,1020,0.0,0.0,1,0,2,1,5,0,0.0,0.0,0,0,105,0,0,0,10,64500,93,61,93.0,6906.0,3060,0.0,5673,5
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,2Types,RFn,3,TA,Y,None,None,None,WD ,247,60,87.0,12361,6,7,85.0,860.0,0.0,86.0,946.0,964,838,0,1802,0.0,1.0,2,1,3,1,8,1,4.0,1017.0,450,92,0,0,0,0,5,218000,18,18,11.0,16753.0,10812,4068.0,324,16
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,Plywood,VinylSd,BrkFace,3,TA,CBlock,TA,Ex,Av,ALQ,Unf,GasA,3,Y,SBrkr,3,Typ,2,Detchd,Unf,3,TA,Y,None,MnPrv,None,WD ,2137,80,72.0,9720,5,7,51.0,755.0,0.0,240.0,995.0,1009,0,0,1009,0.0,0.0,2,0,3,1,6,1,2.0,576.0,0,0,0,0,0,0,6,160000,34,34,34.0,12351.0,5045,1152.0,1156,12
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,New,1794,20,72.0,8640,8,5,0.0,24.0,0.0,1314.0,1338.0,1338,0,0,1338,0.0,0.0,2,0,3,1,6,0,2.0,598.0,0,141,0,0,0,0,11,208900,4,4,4.0,12055.0,10704,1196.0,16,12
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,1164,160,30.0,3180,7,5,0.0,0.0,0.0,689.0,689.0,703,689,0,1392,0.0,0.0,2,0,2,1,5,0,2.0,540.0,0,102,0,0,0,0,3,146000,4,4,4.0,5903.0,9744,1080.0,16,10
RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,BrkFace,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,1179,120,38.0,14963,8,5,0.0,786.0,0.0,474.0,1260.0,1288,0,0,1288,1.0,0.0,1,1,1,1,4,2,2.0,500.0,120,30,0,0,224,0,12,245500,15,15,15.0,18385.0,10304,1000.0,225,4
RM,Pave,None,Reg,Bnk,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,5,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,5,Y,SBrkr,3,Typ,0,Detchd,Unf,2,TA,Y,None,None,None,WD ,1340,45,50.0,5000,6,7,0.0,0.0,0.0,992.0,992.0,1013,0,0,1013,0.0,0.0,1,0,3,1,6,0,1.0,160.0,0,0,101,0,0,0,4,113000,85,61,85.0,7266.0,6078,160.0,5185,6
RL,Pave,None,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,436,20,129.0,16870,8,5,238.0,1531.0,0.0,251.0,1782.0,1782,0,0,1782,1.0,0.0,2,0,3,1,7,2,3.0,932.0,99,82,0,0,0,0,4,296000,7,6,7.0,21785.0,14256,2796.0,42,14
RL,Pave,None,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,5,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,1636,20,86.0,14157,9,5,200.0,1249.0,0.0,673.0,1922.0,1922,0,0,1922,1.0,0.0,2,0,3,1,8,1,3.0,676.0,178,51,0,0,0,0,7,377426,6,5,6.0,19106.0,17298,2028.0,30,16
RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,Stone,5,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,421,20,96.0,12456,10,5,230.0,1172.0,0.0,528.0,1700.0,1718,0,0,1718,1.0,0.0,2,0,3,1,7,1,3.0,786.0,216,48,0,0,0,0,7,337500,5,4,3.0,17154.0,17180,2358.0,20,14
RL,Pave,None,IR1,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,Stone,5,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,5,Attchd,Fin,3,TA,Y,None,None,None,WD ,457,20,100.0,14836,10,5,730.0,2146.0,0.0,346.0,2492.0,2492,0,0,2492,1.0,0.0,2,1,2,1,8,1,3.0,949.0,226,235,0,0,0,0,2,552000,7,6,7.0,21960.0,24920,2847.0,42,16
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,5,Gd,CBlock,Fa,TA,Mn,Unf,Unf,GasA,5,Y,SBrkr,3,Typ,0,Attchd,Unf,3,Po,Y,None,None,None,WD ,2834,50,56.0,6956,4,7,0.0,0.0,0.0,624.0,624.0,624,312,0,936,0.0,0.0,1,0,3,1,5,0,1.0,265.0,0,0,0,0,0,0,4,97900,63,61,63.0,8781.0,3744,265.0,3843,5
FV,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,Fin,3,TA,Y,None,None,None,New,517,20,75.0,7862,6,5,0.0,27.0,0.0,1191.0,1218.0,1218,0,0,1218,0.0,0.0,2,0,2,1,4,0,2.0,676.0,0,102,0,0,0,0,9,208300,2,2,2.0,11076.0,7308,1352.0,4,8
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,Mn,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,1566,60,0.0,11050,7,5,0.0,0.0,0.0,910.0,910.0,910,910,0,1820,0.0,0.0,2,1,3,1,8,1,3.0,816.0,318,32,0,0,0,0,9,213000,15,14,15.0,14946.0,12740,2448.0,210,16
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,Fin,3,TA,Y,None,None,None,WD ,1439,60,57.0,8924,7,5,0.0,0.0,0.0,880.0,880.0,880,844,0,1724,0.0,0.0,2,1,3,1,8,0,2.0,527.0,120,155,0,0,0,0,7,188000,13,12,13.0,12330.0,12068,1054.0,156,16
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,5,TA,CBlock,TA,TA,No,Rec,Unf,GasA,5,Y,FuseA,3,Typ,3,Attchd,RFn,3,TA,Y,None,None,None,WD ,2577,20,0.0,9610,6,6,632.0,203.0,0.0,918.0,1121.0,1336,0,0,1336,0.0,0.0,1,1,3,1,7,1,2.0,488.0,80,0,0,0,0,0,12,162000,53,53,53.0,13267.0,8016,976.0,2809,7
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,3,Y,FuseA,3,Typ,0,Attchd,Unf,3,TA,Y,None,MnPrv,None,WD ,2241,50,75.0,13710,5,5,0.0,420.0,0.0,490.0,910.0,910,648,0,1558,0.0,0.0,1,1,4,1,6,0,1.0,282.0,289,0,0,0,0,0,6,152000,61,61,61.0,16749.0,7790,282.0,3721,6
FV,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,RFn,3,TA,Y,None,GdWo,None,WD ,71,60,100.0,12552,7,5,0.0,222.0,0.0,769.0,991.0,991,956,0,1947,0.0,0.0,2,1,3,1,8,1,2.0,678.0,0,136,0,0,0,0,5,254900,7,6,7.0,16304.0,13629,1356.0,42,16
RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,Shed,WD ,1143,60,43.0,14565,7,5,145.0,537.0,0.0,295.0,832.0,832,825,0,1657,0.0,0.0,2,1,3,1,6,0,2.0,483.0,144,74,0,0,0,0,11,189000,17,16,17.0,17900.0,11599,966.0,272,12
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,3,Gd,CBlock,Gd,TA,No,GLQ,Rec,GasA,3,Y,SBrkr,4,Typ,2,Attchd,Fin,3,TA,Y,None,None,None,WD ,1021,20,56.0,18559,7,5,383.0,1206.0,186.0,656.0,2048.0,2064,0,0,2064,1.0,0.0,2,0,3,1,7,2,2.0,550.0,200,0,0,0,0,0,8,235000,33,33,33.0,23804.0,14448,1100.0,1089,14
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,Gable,CompShg,MetalSd,MetalSd,None,3,TA,CBlock,TA,TA,No,ALQ,Unf,GasW,3,N,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,ConLD,1416,190,68.0,10880,5,5,0.0,1040.0,0.0,124.0,1164.0,1164,0,0,1164,1.0,0.0,1,0,3,1,5,0,1.0,240.0,0,48,0,0,0,0,8,125000,61,61,61.0,13496.0,5820,240.0,3721,5
RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,Gable,CompShg,Plywood,Brk Cmn,None,5,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,5,Y,SBrkr,3,Typ,0,Attchd,Unf,3,TA,Y,None,None,None,WD ,35,120,24.0,2280,7,6,0.0,0.0,0.0,836.0,836.0,836,0,0,836,0.0,0.0,1,0,2,1,4,0,1.0,308.0,0,30,0,0,0,0,6,120000,36,36,36.0,4290.0,5852,308.0,1296,4
RL,Grvl,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,Gable,CompShg,HdBoard,HdBoard,BrkFace,3,Gd,CBlock,Gd,TA,Av,GLQ,Unf,GasA,3,Y,SBrkr,3,Typ,0,None,None,0,None,Y,None,None,None,WD ,2174,90,81.0,11841,6,5,104.0,816.0,0.0,0.0,816.0,816,0,0,816,1.0,0.0,1,0,3,1,5,0,0.0,0.0,0,32,0,0,0,0,5,118500,21,21,21.0,13609.0,4896,0.0,441,5
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,Stone,5,TA,PConc,Ex,TA,Mn,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,New,522,20,85.0,9187,9,5,162.0,1121.0,0.0,645.0,1766.0,1766,0,0,1766,1.0,0.0,2,1,2,1,7,1,3.0,478.0,195,130,0,0,0,0,10,370878,2,2,2.0,13684.0,15894,1434.0,4,14
RH,Pave,None,Reg,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,None,3,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,3,N,FuseA,3,Typ,0,2Types,Unf,3,TA,Y,None,None,None,WD ,2211,90,82.0,6270,5,6,0.0,284.0,0.0,717.0,1001.0,1001,1001,0,2002,0.0,0.0,2,0,4,2,8,0,3.0,871.0,0,0,0,0,0,0,8,145000,62,61,62.0,10144.0,10010,2613.0,3782,16
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,1539,50,0.0,15660,7,9,312.0,341.0,0.0,457.0,798.0,1137,817,0,1954,0.0,1.0,1,1,3,1,8,2,2.0,431.0,0,119,150,0,0,0,5,311500,72,5,72.0,19424.0,13678,862.0,360,8
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,New,2420,120,43.0,3087,7,5,14.0,453.0,0.0,767.0,1220.0,1364,0,0,1364,1.0,0.0,2,0,2,1,6,1,2.0,437.0,100,16,0,0,0,0,11,210250,5,5,5.0,6238.0,9548,874.0,25,12
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,BuiltIn,RFn,3,TA,Y,None,None,None,WD ,2779,60,95.0,13450,7,5,0.0,700.0,0.0,216.0,916.0,920,941,0,1861,1.0,0.0,2,1,3,1,8,0,2.0,492.0,146,91,0,0,0,0,6,200000,9,9,9.0,16956.0,13027,984.0,81,16
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1.5Fin,Gable,CompShg,Plywood,Plywood,None,3,TA,CBlock,None,None,None,None,None,GasA,3,Y,SBrkr,4,Typ,0,Attchd,Unf,3,TA,Y,None,None,None,COD,953,90,75.0,10125,5,5,0.0,0.0,0.0,0.0,0.0,1302,432,0,1734,0.0,0.0,2,0,4,2,8,0,2.0,539.0,0,0,0,0,0,0,8,126000,34,34,34.0,12398.0,8670,1078.0,1156,16
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,4,Gd,BrkTil,Fa,TA,No,Unf,Unf,GasA,4,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,N,None,None,None,WD ,658,70,80.0,8146,4,8,0.0,0.0,0.0,405.0,405.0,717,322,0,1039,0.0,0.0,1,0,2,1,6,0,1.0,281.0,0,0,168,0,111,0,5,114000,111,8,71.0,10150.0,4156,281.0,888,6
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,3,Gd,BrkTil,Fa,TA,No,Unf,Unf,GasA,3,Y,SBrkr,4,Typ,0,Detchd,Unf,3,TA,N,None,None,None,WD ,714,70,60.0,9600,4,4,0.0,0.0,0.0,677.0,677.0,833,677,0,1510,0.0,0.0,2,0,3,1,7,0,2.0,720.0,0,0,160,0,0,0,6,87500,101,61,37.0,12667.0,6040,1440.0,6161,14
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,Stone,5,TA,PConc,Ex,TA,Mn,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,4,BuiltIn,Fin,3,TA,Y,None,None,None,WD ,1637,60,98.0,12328,8,5,146.0,986.0,0.0,163.0,1149.0,1164,1377,0,2541,1.0,0.0,3,1,4,1,10,1,3.0,729.0,120,32,0,0,0,0,7,349265,6,6,6.0,17045.0,20328,2187.0,36,30
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,Gd,BLQ,Rec,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,538,20,76.0,10141,8,5,264.0,516.0,774.0,222.0,1512.0,1512,0,0,1512,0.0,0.0,2,0,3,1,6,0,3.0,845.0,210,36,0,0,0,0,1,203000,7,7,7.0,14520.0,12096,2535.0,49,12
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,RFn,3,TA,Y,None,None,None,WD ,546,20,65.0,8529,7,5,0.0,20.0,0.0,1434.0,1454.0,1434,0,0,1434,0.0,0.0,2,0,3,1,6,1,2.0,527.0,290,39,0,0,0,0,4,189000,10,10,10.0,12273.0,10038,1054.0,100,12
